(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09P8QSW86,B09P8TKV6T,1936 Streamliner Diner 1936 with Boarder Poster Wall Art Decor Framed Print | Diners & Classic Restaurants Home & Office Posters Pictures & Prints by Larry Grossman | Artwork for Bedroom & Living Room,4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TMZNQ,"Surfin Surfari Cars by The Beach Poster Wall Art Decor Framed Print | Surfing & Ocean Piers Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TS7ZH,"Park Central Hotel Moon Over Miami Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints by Larry Grossman | Cool Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TVBT5,"On The Town Car Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8TXL74,"Park Central Hotel Moon Over Miami Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints by Larry Grossman | Cool Artwork for Bedroom & Living Room",7,0,0.03%,0.00%,9,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8V1YPB,"Good Luck Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8V3RST,"Bakery Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8V7XT1,"Good Luck Sign Poster Wall Art Decor Framed Print | Neon Signs & Landmarks Home & Office Decoration Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P8VYSXR,"Out of Town Train Poster Wall Art Decor Framed Print | Art Deco & 20th Century Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09P8QSW86,B09P9FCV2Q,"Have You Smoked a Joint Today Poster Wall Art Decor Framed Print | Marijuana & 420 Pot Home & Office Posters, Pictures & Prints in Frame by Larry Grossman | Artwork Gift for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09PLLCVD6,B09PLKQD2B,"Moose in Forest Bighorn Mountains Poster Wall Art Decor Framed Print | Animals & Wildlife Photography Home & Office Posters, Pictures & Prints by Dixie Grilley | Artwork for Bedroom & Living Room",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09PLLCVD6,B09PLLJ7ZB,"Whitetail Deer in Forest Poster Wall Art Decor Framed Print | Animals & Wildlife Photography Home & Office Posters, Pictures & Prints by Dixie Grilley | Cool Artwork for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09PLLCVD6,B09PLM42XG,"Big Horn Sheep at Ewe Badlands Poster Wall Art Decor Framed Print | Animals & Wildlife Photography Home & Office Posters, Pictures & Prints by Dixie Grilley | Artwork for Bedroom & Living Room Walls",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
